Categoria,SerialNumber,Archivo,Estatus_Tester,Consumo_mA,Offset_High_V,V_20A_High_V,Tiempo_ms_High,Offset_Low_V,V_20A_Low_V,Tiempo_ms_Low,Delta_V_High,Delta_V_Low,S_High_mVA,S_Low_mVA,Ratio_HL,Ratio_Dev_Pct,Proy_220A_High_mV,Proy_220A_Low_mV,Status,Razon_Falla,Ford_220A
CORRECTION_FACTOR,26169000619,7370-2573-8W 26169000619 0101 OK.txt,OK,20.915,2.505,2.619,20.0,2.504,2.903,56.0,0.11400000000000032,0.399,5.700000000000016,19.95,0.28571428571428653,-0.9655855409751986,3759.0000000000036,6893.0,PASS,,PASS
CORRECTION_FACTOR,26169000620,7370-2573-8W 26169000620 0101 OK.txt,OK,21.118,2.504,2.618,20.0,2.504,2.904,19.0,0.11399999999999988,0.3999999999999999,5.699999999999994,19.999999999999993,0.2849999999999998,-1.213171577123109,3757.9999999999986,6903.999999999998,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000621,7370-2573-8W 26169000621 0101 OK.txt,OK,20.834,2.505,2.619,20.0,2.504,2.904,19.0,0.11400000000000032,0.3999999999999999,5.700000000000016,19.999999999999993,0.2850000000000009,-1.2131715771227243,3759.0000000000036,6903.999999999998,PASS,,PASS
CORRECTION_FACTOR,26169000622,7370-2573-8W 26169000622 0101 OK.txt,OK,21.146,2.505,2.619,19.0,2.505,2.904,19.0,0.11400000000000032,0.399,5.700000000000016,19.95,0.28571428571428653,-0.9655855409751986,3759.0000000000036,6894.0,PASS,,PASS
CORRECTION_FACTOR,26169000623,7370-2573-8W 26169000623 0101 OK.txt,OK,21.186,2.505,2.619,19.0,2.504,2.904,19.0,0.11400000000000032,0.3999999999999999,5.700000000000016,19.999999999999993,0.2850000000000009,-1.2131715771227243,3759.0000000000036,6903.999999999998,PASS,,PASS
CORRECTION_FACTOR,26169000624,7370-2573-8W 26169000624 0101 OK.txt,OK,21.105,2.504,2.618,20.0,2.505,2.904,19.0,0.11399999999999988,0.399,5.699999999999994,19.95,0.2857142857142854,-0.9655855409755834,3757.9999999999986,6894.0,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000625,7370-2573-8W 26169000625 0101 OK.txt,OK,21.028,2.504,2.618,20.0,2.505,2.904,66.0,0.11399999999999988,0.399,5.699999999999994,19.95,0.2857142857142854,-0.9655855409755834,3757.9999999999986,6894.0,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000626,7370-2573-8W 26169000626 0101 OK.txt,OK,20.455,2.504,2.618,19.0,2.505,2.905,19.0,0.11399999999999988,0.3999999999999999,5.699999999999994,19.999999999999993,0.2849999999999998,-1.213171577123109,3757.9999999999986,6904.999999999998,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000627,7370-2573-8W 26169000627 0101 OK.txt,OK,20.809,2.505,2.619,19.0,2.505,2.905,20.0,0.11400000000000032,0.3999999999999999,5.700000000000016,19.999999999999993,0.2850000000000009,-1.2131715771227243,3759.0000000000036,6904.999999999998,PASS,,PASS
CORRECTION_FACTOR,26169000628,7370-2573-8W 26169000628 0101 OK.txt,OK,20.983,2.505,2.619,20.0,2.505,2.904,66.0,0.11400000000000032,0.399,5.700000000000016,19.95,0.28571428571428653,-0.9655855409751986,3759.0000000000036,6894.0,PASS,,PASS
CORRECTION_FACTOR,26169000629,7370-2573-8W 26169000629 0101 OK.txt,OK,20.969,2.504,2.618,20.0,2.505,2.904,61.0,0.11399999999999988,0.399,5.699999999999994,19.95,0.2857142857142854,-0.9655855409755834,3757.9999999999986,6894.0,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000630,7370-2573-8W 26169000630 0101 OK.txt,OK,21.236,2.504,2.618,51.0,2.504,2.903,19.0,0.11399999999999988,0.399,5.699999999999994,19.95,0.2857142857142854,-0.9655855409755834,3757.9999999999986,6893.0,FAIL,S_High=5.700 < 5.7,PASS
CORRECTION_FACTOR,26169000631,7370-2573-8W 26169000631 0101 OK.txt,OK,20.852,2.504,2.618,20.0,2.505,2.905,20.0,0.11399999999999988,0.3999999999999999,5.699999999999994,19.999999999999993,0.2849999999999998,-1.213171577123109,3757.9999999999986,6904.999999999998,FAIL,S_High=5.700 < 5.7,PASS
